2026 공간풀숲 전시 정성자료,,,,,,,,,,,,,,,,,,,
,전시명,유형,내용,출처,기간,,,,,,,,,,,,,,
4,"사라지기 전에: 현진오, 멸종위기식물 40년 기록",관람객 후기,귀한작품 혼이 담긴 사진들 감사합니다. ,방명록,26.03.04 - 26.04.04,,,,,,,,,,,,,,
5,"사라지기 전에: 현진오, 멸종위기식물 40년 기록",관람객 후기,현박사님 사라지기 전에 지켜야하는 우리 모두의 사명이라고 생각합니다. 수고한 박사님의 열정에 감사하며.,방명록,26.03.04 - 26.04.04,,,,,,,,,,,,,,
6,"사라지기 전에: 현진오, 멸종위기식물 40년 기록",관람객 후기,끊임없는 당신의 노력과 열정 늘 존경합니다. 늘 감사합니다. ,방명록,26.03.04 - 26.04.04,,,,,,,,,,,,,,
7,"사라지기 전에: 현진오, 멸종위기식물 40년 기록",관람객 후기,한 생명이라도 더 살리고 한 종이라도 더 보존하는 인간의 책임에 대해 생각합니다.,방명록,26.03.04 - 26.04.04,,,,,,,,,,,,,,
8,"사라지기 전에: 현진오, 멸종위기식물 40년 기록",관람객 후기,사라져가는 우리 들풀과 나무를 보듬어온 아름다운 당신의 삶이 느껴집니다. 귀한 사진 잘 봤습니다. ,방명록,26.03.04 - 26.04.04,,,,,,,,,,,,,,
9,"사라지기 전에: 현진오, 멸종위기식물 40년 기록",관람객 후기,멸종위기 야생화 기록에 감사하며 조경과 사진을 하는 사람으로 존경합니다. ,방명록,26.03.04 - 26.04.04,,,,,,,,,,,,,,
10,"사라지기 전에: 현진오, 멸종위기식물 40년 기록",관람객 후기,"이름모를 풀들, 사라져 가는 작은 생명들에 대한 집념과 노력이 활짝 피어나 큰 결실을 맺으시길 기원합니다.",방명록,26.03.04 - 26.04.04,,,,,,,,,,,,,,
11,"사라지기 전에: 현진오, 멸종위기식물 40년 기록",관람객 후기,소중한 것들을 발견하고 기록한 묵묵한 작업에 경의를 표합니다.,방명록,26.03.04 - 26.04.04,,,,,,,,,,,,,,
12,"사라지기 전에: 현진오, 멸종위기식물 40년 기록",관람객 후기,현진오 소장님 노고가 많으셨습니다. 큰 발자취를 남기셨습니다. 축하드립니다.,방명록,26.03.04 - 26.04.04,,,,,,,,,,,,,,
13,"사라지기 전에: 현진오, 멸종위기식물 40년 기록",관람객 후기,이 작고 아름다운 것들이 사라져가고 잇다는 걸 느낄 때마다,방명록,26.03.04 - 26.04.04,,,,,,,,,,,,,,
14,"사라지기 전에: 현진오, 멸종위기식물 40년 기록",관람객 후기,풀숲에 보물이 가득하네요. 생생한 꽃들을 마음에 담아갑니다. 현진오 선생님 감사합닌다.,방명록,26.03.04 - 26.04.04,,,,,,,,,,,,,,
15,"사라지기 전에: 현진오, 멸종위기식물 40년 기록",관람객 후기,평생을 바쳐 기록하며 멸종위기 식물들의 숨결이 이곳에 오롯이... 현소장님의 열정에 깊은 존경과 감사를 표합니다.,방명록,26.03.04 - 26.04.04,,,,,,,,,,,,,,
16,"사라지기 전에: 현진오, 멸종위기식물 40년 기록",관람객 후기,밴드 숲해설가들이 전하는 풀꽃이야기에 더스틴님이 올려주신 전시회 내용을 보고 대전에서 7시 25분 버스로 왔습니다.(단숨에) 감동입니다. 소중한 시간과 공간숲사랑. 깊은 감사드리며 울컥합니다. 아름다운 자연을 담아주시고 사랑하시고 인연을 이어서 쭉- 오늘 서울 소풍. 덕분에 행복이죠. ,방명록,26.03.04 - 26.04.04,,,,,,,,,,,,,,
17,"사라지기 전에: 현진오, 멸종위기식물 40년 기록",관람객 후기,현박사님의 멋진 인생을 다시 한번 보고 갑니다. 축하드립니다. ,방명록,26.03.04 - 26.04.04,,,,,,,,,,,,,,
